COMUNIDAD;PROVINCIA;MUNICIPIO;SUP M2;FECHA APERTURA;TIENDA;TARIFA;ROL;Nivel de surtido;CV 2022;PROG;CV 2021;PROG;CV 2020
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;373;17.06.21;PXMA CERVANTES, 5;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’449’548.45 €;54%;670’911.10 €;100%; -   € 
PAÍS VASCO;VIZCAYA;BILBAO;239;30.12.14;PXBI JARDINES;PLUS;URB.COMERCIAL;NACIONAL5;1’437’395.40 €;9%;1’302’383.76 €;-2%;1’325’906.20 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;434;24.06.21;PXMA PRINCIPAL DEL CANDADO, 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’437’307.63 €;52%;686’610.65 €;100%; -   € 
ANDALUCÍA;MÁLAGA;VELEZ-MALAGA;643;14.07.21;PXMA VELEZ CAMINO VIEJO DE MALAGA, 27;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’430’014.77 €;56%;626’920.15 €;100%; -   € 
CASTILLA LA MANCHA;CUENCA;PEDROÑERAS (LAS);727;03.07.20;PXCU LAS PEDROÑERAS 3;ESTANDAR;RURAL;NACIONAL4;1’418’068.42 €;12%;1’246’222.92 €;47%;655’614.24 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;CINTRUENIGO;673;20.11.19;PXNA CINTRUEÑIGO - VALLE DE LA ULZAMA;ESTANDAR;RURAL;NACIONAL3;1’414’406.34 €;15%;1’207’075.45 €;0%;1’211’798.63 €
COMUNIDAD DE MADRID;MADRID;MADRID;159;20.09.12;PXM SANTA SUSANA II;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’413’114.89 €;8%;1’293’009.88 €;-15%;1’489’037.92 €
ANDALUCÍA;HUELVA;HUELVA;200;02.09.16;PXH PLAZA DEL PUNTO;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’412’330.67 €;10%;1’268’953.46 €;-6%;1’349’679.22 €
ANDALUCÍA;HUELVA;PALOS DE LA FRONTERA;313;03.07.20;PXH MOGUER-MAZAGÓN;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’406’311.49 €;10%;1’261’434.72 €;47%;663’019.52 €
CASTILLA LA MANCHA;TOLEDO;TOLEDO;204;09.06.20;PXTO CALLE TRINIDAD;PLUS;URB.COMERCIAL;NACIONAL6;1’402’750.23 €;19%;1’141’709.44 €;54%;523’452.42 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;156;29.05.20;PXMA ALAMEDA PRINCIPAL 2;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’396’007.61 €;26%;1’029’566.45 €;54%;473’883.90 €
ANDALUCÍA;CÁDIZ;CHICLANA DE LA FRONTERA;635;17.08.21;PXCA CHICLANA CTRA. MEDINA, 6;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’391’893.51 €;64%;503’096.36 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;385;27.04.21;PXM INFANTA MARÍA TERESA, 12;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’389’470.28 €;46%;754’964.00 €;100%; -   € 
PAÍS VASCO;GUIPÚZCOA;DONOSTIA-SAN SEBASTIAN;168;12.04.19;PXSS CALLE URBIETA2, 44;PLUS;URB.COMERCIAL;NACIONAL6;1’385’515.12 €;13%;1’202’127.44 €;-1%;1’208’472.65 €
COMUNIDAD VALENCIANA;ALICANTE;ALICANTE/ALACANT;116;18.12.14;PXA PLAZA DEL AYUNTAMIENTO;XPLUS;URB.COMERCIAL;NACIONAL7;1’384’069.98 €;27%;1’008’819.35 €;18%;827’944.69 €
ANDALUCÍA;MÁLAGA;MARBELLA;153;30.04.21;PXMA S P ALCANTARA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’381’629.64 €;51%;671’045.72 €;100%; -   € 
COMUNIDAD VALENCIANA;ALICANTE;ALICANTE/ALACANT;182;25.04.14;PXA EXPLANADA DE ESPAÑA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’370’357.50 €;31%;943’530.24 €;3%;918’737.42 €
CATALUÑA;BARCELONA;VILAFRANCA DEL PENEDES;390;03.01.15;PXB VILAFRANCA DEL PENEDÉS;PLUS;URB.RESIDENCIAL;NACIONAL4;1’367’097.65 €;18%;1’119’787.15 €;-8%;1’206’921.54 €
PAÍS VASCO;VIZCAYA;BARAKALDO;282;19.07.19;PXBI BARAKALDO  IBARRA, 19;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’365’755.71 €;6%;1’277’420.29 €;27%;936’640.89 €
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;223;19.02.21;PXSA GRAN VÍA V;PLUS;URB.RESIDENCIAL;NACIONAL5;1’346’512.43 €;21%;1’060’782.47 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;249;21.08.15;PXM RAMIREZ DE PRADO, 8;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’345’917.06 €;10%;1’209’033.41 €;-20%;1’448’848.29 €
ANDALUCÍA;CÁDIZ;ALGECIRAS;405;17.08.21;PXCA ALGECIRAS JOSE SANTA CANA, 5;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’342’489.13 €;69%;418’922.30 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;SOTO DEL REAL;223;20.12.12;PXM SOTO DEL REAL;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’341’153.35 €;15%;1’146’395.36 €;-7%;1’224’172.25 €
ANDALUCÍA;SEVILLA;SEVILLA;334;22.06.21;PXSE FORJADORES, 8;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’340’833.63 €;55%;607’415.00 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;465;20.08.08;PXM ANDRÉS MELLADO;PLUS;URB.RESIDENCIAL;NACIONAL4;1’336’838.66 €;7%;1’239’394.76 €;-17%;1’445’608.58 €
COMUNIDAD DE MADRID;MADRID;MADRID;140;29.01.21;PXM HORTALEZA IV, 17;PLUS;URB.COMERCIAL;NACIONAL6;1’328’970.63 €;20%;1’063’240.62 €;100%; -   € 
PAÍS VASCO;VIZCAYA;BILBAO;131;06.05.16;PXBI SANTUTXU;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’314’686.16 €;5%;1’245’579.90 €;-11%;1’385’262.53 €
COMUNIDAD DE MADRID;MADRID;MADRID;249;08.06.16;PXM NUÑEZ DE MORGADO 2;PLUS;URB.RESIDENCIAL;NACIONAL4;1’310’682.91 €;1%;1’291’489.99 €;0%;1’291’281.38 €
CASTILLA Y LEÓN;SALAMANCA;CARBAJOSA DE LA SAGRADA;394;29.09.15;PXSA CARBAJOSA DE LA SAGRADA;ESTANDAR;RURAL;NACIONAL4;1’294’021.90 €;-9%;1’408’911.84 €;-9%;1’540’126.45 €
ANDALUCÍA;CÁDIZ;ROTA;270;26.10.21;PXCA ROTA SAN RAFAEL, 14;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’293’006.26 €;88%;159’028.68 €;100%; -   € 
EXTREMADURA;CÁCERES;JARANDILLA DE LA VERA;366;21.06.13;PXCC JARANDILLA DE LA VERA;ESTANDAR;RURAL;NACIONAL4;1’291’269.12 €;12%;1’139’760.87 €;2%;1’114’194.48 €
