SUP M2;FECHA APERTURA;TIENDA;C. POSTAL;MUNICIPIO;PROVINCIA;COMUNIDAD;TARIFA;ROL;Nivel de surtido;CV 2022;CV 2021
488;01.06.17;PXM CONDE DUQUE 1;28015;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;2’018’590.00 €;1’869’040.92 €
156;02.11.17;PXM ZURBANO2;28010;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL6;1’994’909.65 €;1’697’673.40 €
690;06.07.21;PXMA TORRE DEL MAR DR FLEMING;29740;TORRE DEL MAR;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’961’314.83 €;901’409.32 €
482;25.08.21;PXM JUAN RAMÓN JIMENEZ;28036;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;1’949’254.38 €;644’834.58 €
420;25.11.21;PXSE PLAZA DE LA ALFALFA;41004;SEVILLA;SEVILLA ;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’946’066.38 €;201’414.33 €
772;08.07.21;PXGR GUADIX PEDRO DE MENDOZA Y LUJAN;18500;GUADIX;GRANADA;ANDALUCÍA;ESTANDAR;RURAL;NACIONAL3;1’868’231.92 €;920’302.20 €
419;13.08.21;PXM CIUDAD DE BARCELONA, 142;28007;MADRID ;MADRID ;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’867’819.90 €;738’114.53 €
208;30.07.20;PXM RAMONET 5;28033;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;1’841’363.97 €;1’645’064.51 €
493;20.07.21;PXM FERMÍN CABALLERO 10;28034;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’810’524.79 €;739’675.16 €
584;01.06.21;PXMA MALAGA CUARTELES 49;29002;MÁLAGA;MÁLAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’771’834.51 €;909’338.78 €
187;05.11.21;PXMA PLAZA DE LA MERCED;29012;MALAGA;MALAGA;ANDALUCÍA;XPLUS;URB.COMERCIAL;NACIONAL5;1’770’560.38 €;196’484.12 €
100;10.08.12;PXM CALLE MAYOR 46;28013;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;CONVENIENCIA;NACIONAL7;1’761’557.91 €;1’261’505.15 €
374;16.04.21;PXGR CADIAR 2;18440;CÁDIAR;GRANADA;ANDALUCÍA;AGRESIVA;RURAL;NACIONAL5;1’758’933.15 €;1’149’681.58 €
127;27.01.16;PXM CALLE TOLEDO;28005;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL5;1’747’772.61 €;1’464’411.53 €
693;07.07.21;PXMA TORRE DEL MAR PRINCESA, 6;29740;TORRE DEL MAR;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’747’510.57 €;805’512.47 €
254;30.11.11;PXM BEJAR;28028;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’737’097.09 €;1’638’130.15 €
126;28.12.17;PXGR GRAN VÍA DE COLÓN, 11;18001;GRANADA;GRANADA;ANDALUCÍA;PLUS;URB.COMERCIAL;NACIONAL6;1’734’675.70 €;1’321’394.54 €
347;03.11.21;PXGR MOTRIL CAPUCHINO, 8;18600;MOTRIL;GRANADA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’733’920.86 €;264’613.63 €
296;11.12.20;PXM SAN BERNARDO3, 83;28015;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL3;1’733’169.30 €;1’564’489.73 €
554;30.11.21;PXM MARTIN DE LOS HEROS 33;28008;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;1’730’291.18 €;155’936.35 €
223;23.11.18;PXSA AVDA. PORTUGAL2, 119;37006;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;PLUS;URB.RESIDENCIAL;NACIONAL5;1’716’837.94 €;1’344’967.79 €
487;27.04.21;PXM MARQUÉS JURA REAL;28019;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’670’816.74 €;1’000’043.50 €
443;30.09.21;PXMA SABINILLAS -  AVDA MANILVA, 1;29692;SABINILLAS;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’659’026.09 €;347’356.25 €
110;06.09.19;PXMA ESPECERIA, 7;29005;MÁLAGA;MÁLAGA;ANDALUCÍA;PLUS;CONVENIENCIA;NACIONAL7;1’640’607.86 €;1’281’643.42 €
262;02.02.11;PXM LOZOYUELA;28752;LOZOYUELA-NAVAS-SIETEIGLESIAS;MADRID;COMUNIDAD DE MADRID;ESTANDAR;RURAL;NACIONAL4;1’637’539.54 €;1’429’960.85 €
218;24.02.17;PXSA AVDA. COMUNEROS, 6;37003;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’628’325.85 €;1’512’298.27 €
456;06.07.21;PXMA CTRA. ALMERÍA, 19-21;29017;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’618’048.42 €;717’815.48 €
525;02.09.21;PXM CERCEDILLA MARÍA MINGUEZ, 7;28470;CERCEDILLA;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’612’868.05 €;493’663.19 €
352;22.12.21;PXMA ATARAZANAS;29005;MÁLAGA;MÁLAGA;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’609’681.87 €;44’092.22 €
244;11.09.20;PXM AGASTIA3 100;28043;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;1’597’767.22 €;1’489’748.38 €
253;06.09.17;PXGR SAN JUAN DE DIOS;18001;GRANADA;GRANADA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL5;1’597’236.63 €;1’215’988.47 €
294;08.03.16;PXB BADALONA - MARTI I PUJOL2, 27;8912;BADALONA;BARCELONA;CATALUÑA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’584’725.38 €;1’473’229.76 €
415;28.09.21;PXGR PLAZA DE LOS CAMPOS 4;18009;GRANADA ;GRANADA ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’575’849.53 €;394’657.31 €
279;25.05.21;PXM ARTURO SORIA, 310;28033;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;1’562’964.63 €;897’983.51 €
359;10.06.21;PXSE AVDA DEL GRECO, 14;41007;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’557’319.59 €;777’293.21 €
144;01.06.18;PXM HORTALEZA2, 65;28004;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL6;1’548’083.79 €;1’365’264.53 €
303;12.04.18;PXB CAMELIAS, 10;8024;BARCELONA;BARCELONA;CATALUÑA;PLUS;URB.RESIDENCIAL;NACIONAL4;1’547’387.85 €;1’312’497.79 €
296;29.06.11;PXB MARINA;8025;BARCELONA;BARCELONA;CATALUÑA;XPLUS;URB.COMERCIAL;NACIONAL6;1’547’355.59 €;1’156’849.46 €
332;01.07.21;PXM SANTA VIRGILIA, 6;28033;MADRID ;MADRID ;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’545’837.29 €;665’517.77 €
400;12.05.21;PXM RAFAEL CALVO, 18;28010;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’536’879.57 €;801’285.98 €
162;15.12.17;PXV SERRANOS, 10;46003;VALENCIA;VALENCIA;COMUNIDAD VALENCIANA;PLUS;URB.COMERCIAL;NACIONAL7;1’535’258.30 €;1’236’443.33 €
