SUP M2;FECHA APERTURA;TIENDA;C. POSTAL;MUNICIPIO;PROVINCIA;COMUNIDAD;TARIFA;ROL;Nivel de surtido;CV 2022;CV 2021
509;05.05.21;PXM AVDA. BRASIL, 8;28020;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.COMERCIAL;NACIONAL4;1’186’333.32 €;687’003.99 €
162;31.08.18;PXMU PLAZA SAN JULIAN;30004;MURCIA;MURCIA;REGIÓN DE MURCIA;ESTANDAR;URB.COMERCIAL;NACIONAL5;1’184’561.07 €;1’060’565.32 €
456;11.03.21;PXV CORBERA-AV. PAIS VALENCIA;46612;CORBERÁ;VALENCIA;COMUNIDAD VALENCIANA;AGRESIVA;RURAL;NACIONAL4;1’184’194.22 €;856’816.50 €
366;28.04.21;PXMA VILLAFUERTE, 35;29017;MÁLAGA;MÁLAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’183’555.21 €;733’930.70 €
193;10.09.21;PXSS ZARAUTZ IV-ZIGORDIA KALEA;20800;ZARAUTZ;GUIPÚZCOA;PAÍS VASCO;PLUS;URB.RESIDENCIAL;NACIONAL5;1’180’974.55 €;307’987.02 €
138;07.07.17;PXMA CASTILLA PEREZ 2;29780;NERJA;MÁLAGA;ANDALUCÍA;PLUS;URB.COMERCIAL;NACIONAL6;1’180’221.43 €;954’347.83 €
145;05.04.17;PXMA TEJÓN Y RODRIGUEZ, 1;29008;MÁLAGA;MÁLAGA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL7;1’178’936.13 €;1’363’203.76 €
132;19.08.16;PXGR LAS TABLAS;18002;GRANADA;GRANADA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’178’844.95 €;1’015’448.24 €
199;11.10.19;PXGI LLORET DE MAR - POETA LOPE MATEO;17310;LLORET DE MAR;GIRONA;CATALUÑA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’175’047.39 €;916’133.51 €
275;15.05.20;PXBI BASAURI - MADRID, 1;48970;BASAURI;VIZCAYA;PAÍS VASCO;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’173’630.88 €;943’810.37 €
282;25.05.21;PXSE ASUNCIÓN 17;41011;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’163’889.23 €;530’980.76 €
320;24.03.17;PXM SS REYES - CERVANTES, 12;28701;SAN SEBASTIÁN DE LOS REYES;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’162’861.53 €;1’145’644.65 €
474;24.08.17;PXM PERALES DEL RIO - CALLE GROENLANDIA 2;28909;GETAFE;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’162’346.60 €;1’070’203.09 €
132;05.12.18;PXTO SILLERÍA, 7;45001;TOLEDO;TOLEDO;CASTILLA LA MANCHA;PLUS;URB.COMERCIAL;NACIONAL7;1’160’769.90 €;980’456.32 €
138;18.05.12;PXB TRAVESSERA CORTS;8903;L' HOSPITALET DE LLOBREGAT;BARCELONA;CATALUÑA;PLUS;URB.COMERCIAL;NACIONAL5;1’156’116.79 €;902’679.88 €
600;02.04.20;PXC PONTE ULLA;15885;PONTE ULLA ;A CORUÑA;GALICIA;AGRESIVA;RURAL;NACIONAL4;1’153’238.07 €;1’177’907.63 €
187;11.07.13;PXSG JUAN BRAVO, 54;40006;SEGOVIA;SEGOVIA;CASTILLA Y LEÓN;ESTANDAR;CONVENIENCIA;NACIONAL5;1’151’428.06 €;1’010’761.50 €
202;12.04.17;PXB PABLO IGLESIAS;8016;BARCELONA;BARCELONA;CATALUÑA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’149’818.90 €;1’053’245.50 €
339;19.11.14;PXLE BENAVIDES DE ORBIGO;24280;BENAVIDES DE ORBIGO;LEÓN;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL5;1’149’747.54 €;958’599.12 €
250;20.05.16;PXBA CAMPANARIO;6460;CAMPANARIO;BADAJOZ;EXTREMADURA;ESTANDAR;RURAL;NACIONAL5;1’146’771.95 €;1’019’076.44 €
550;15.06.18;PXTE CTRA. CASTRALVO 2, 3;44002;TERUEL;TERUEL;ARAGÓN;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’145’994.38 €;1’046’781.73 €
196;08.09.17;PXM CALLE CONDE DE PEÑALVER 63;28006;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL6;1’145’093.09 €;1’048’676.75 €
151;27.04.18;PXO SCHULTZ 2;33210;GIJÓN ;ASTURIAS;PRINCIPADO DE ASTURIAS;PLUS;URB.RESIDENCIAL;NACIONAL6;1’143’205.57 €;1’030’765.38 €
182;02.05.11;PXGI LLORET DEL MAR;17310;LLORET DE MAR;GERONA;CATALUÑA;XPLUS;URB.RESIDENCIAL;NACIONAL6;1’142’534.98 €;845’909.45 €
174;08.06.21;PXM DIEGO DE LEÓN, 32;28006;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL6;1’135’971.90 €;550’108.41 €
734;24.06.21;PXCA CHICLANA AV SOLANO, 2;11130;CHICLANA DE LA FRONTERA;CADIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’126’413.84 €;588’791.95 €
198;12.08.14;PXB GRAN VIA DE LES CORTS CATALANES, 573;8011;BARCELONA;BARCELONA;CATALUÑA;PLUS;URB.COMERCIAL;NACIONAL6;1’121’003.81 €;752’504.40 €
336;08.06.21;PXMA TAMAYO Y BAUS, 2;29010;MÁLAGA;MÁLAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’120’771.93 €;560’297.63 €
247;15.09.17;PXB VILLAFRANCA - FERRERS, 38;8720;VILLAFRANCA DEL PENEDÉS;BARCELONA;CATALUÑA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’120’310.67 €;995’240.65 €
198;04.02.21;PXB STA MADRONA;8004;BARCELONA;BARCELONA;CATALUÑA;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’119’743.91 €;719’488.66 €
174;26.02.19;PXM AVDA. CONSTITUCIÓN ALCOBENDAS;28100;ALCOBENDAS;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’118’046.77 €;1’124’849.51 €
205;23.12.20;PXV CALLE PAZ2 29;46003;VALENCIA;VALENCIA;COMUNIDAD VALENCIANA;PLUS;URB.COMERCIAL;NACIONAL5;1’117’459.29 €;919’751.37 €
553;16.06.21;PXMA ESTEPONA LA PORTADA;29680;ESTEPONA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’114’857.79 €;605’188.00 €
94;18.05.18;PXV SAN MIGUEL, 3;46003;VALENCIA;VALENCIA;COMUNIDAD VALENCIANA;PLUS;URB.COMERCIAL;NACIONAL7;1’114’796.63 €;864’620.78 €
266;08.06.12;PXNA CALLE MAYOR, 49;31001;PAMPLONA;NAVARRA;COMUNIDAD FORAL DE NAVARRA;PLUS;URB.COMERCIAL;NACIONAL5;1’109’957.09 €;1’139’050.57 €
172;18.10.17;PXGR PEDRO ANTONIO ALARCÓN;18002;GRANADA;GRANADA;ANDALUCÍA;AGRESIVA;URB.RESIDENCIAL;NACIONAL6;1’109’390.01 €;969’963.60 €
511;28.02.20;PXLE SANTA MARÍA DEL PÁRAMO II;24240;SANTA MARÍA DEL PÁRAMO;LEÓN;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL4;1’100’468.43 €;979’701.66 €
525;12.06.20;PXV BETERA - MAS CAMARENA;46117;BÉTERA;VALENCIA;COMUNIDAD VALENCIANA;PLUS;URB.RESIDENCIAL;NACIONAL4;1’099’798.26 €;991’703.61 €
272;23.11.18;PXSA Mª AUXILIADORA2, 23;37004;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;PLUS;URB.RESIDENCIAL;NACIONAL5;1’099’198.07 €;967’285.73 €
228;31.10.19;PXB VILADECANS - AVDA. MOLINO, 1;8840;VILADECANS;BARCELONA;CATALUÑA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’097’918.61 €;976’086.48 €
277;30.03.17;PXCC AVDA. LA SALLE, 24;10600;PLASENCIA;CÁCERES;EXTREMADURA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’094’289.96 €;1’057’815.20 €
402;28.08.20;PXM DUQUE DE SESTO II, 28;28009;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;1’090’731.38 €;1’008’127.82 €
151;14.06.17;PXCA SOPRANIS, 1;11005;CÁDIZ;CÁDIZ;ANDALUCÍA;ESTANDAR;CONVENIENCIA;NACIONAL7;1’087’860.25 €;995’778.09 €
278;07.06.13;PXS NOJA;39180;NOJA;CANTABRIA;CANTABRIA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’079’625.88 €;958’629.25 €
208;08.02.17;PXB CAPONATA, 10;8034;BARCELONA;BARCELONA;CATALUÑA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’077’107.27 €;986’835.00 €
243;10.06.21;PXGR MOTRIL - ANCHA, 8;18600;MOTRIL;GRANADA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;1’076’322.79 €;553’168.63 €
295;22.03.17;PXLE C MIGUEL DE ZAERA2, 14;24007;LEÓN ;LEÓN;CASTILLA Y LEÓN;PLUS;URB.RESIDENCIAL;NACIONAL4;1’074’262.36 €;920’735.64 €
487;26.04.19;PXGR IZNALLOZ - AVDA. ANDALUCÍA;18550;IZNALLOZ;GRANADA;ANDALUCÍA;ESTANDAR;RURAL;NACIONAL6;1’072’696.62 €;964’783.06 €
240;11.06.15;PXSE RONDA DE TRIANA, 2;41010;SEVILLA;SEVILLA;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’070’454.21 €;941’001.73 €
108;29.09.17;PXM Mª DE GUZMÁN, 57;28003;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;1’067’847.49 €;1’082’577.95 €
152;30.09.21;PXM CALLE OÑA, 121;28050;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’067’090.45 €;232’867.07 €
275;15.11.17;PXO PLAZA SAN MIGUEL, 5;33202;GIJÓN ;ASTURIAS;PRINCIPADO DE ASTURIAS;ESTANDAR;URB.COMERCIAL;NACIONAL5;1’062’321.19 €;1’130’582.86 €
99;12.03.19;PXM CALLE ARCIPRESTE DE HITA 4;28015;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL6;1’056’062.70 €;961’599.10 €
227;17.11.17;PXSG EL ESPINAR3;40400;EL ESPINAR;SEGOVIA;CASTILLA Y LEÓN;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’055’167.45 €;961’096.49 €
233;08.10.15;PXBA CONCORDIA;6140;TALAVERA LA REAL;BADAJOZ;EXTREMADURA;ESTANDAR;RURAL;NACIONAL5;1’054’647.47 €;952’719.57 €
259;07.06.19;PXCA ANA DE VIYA 3;11008;CÁDIZ;CÁDIZ;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’051’518.48 €;1’017’319.45 €
440;30.06.21;PXM VILLA DEL PRADO - OFICIOS 2;28630;VILLA DEL PRADO;MADRID;COMUNIDAD DE MADRID;ESTANDAR;RURAL;NACIONAL5;1’050’257.44 €;534’325.54 €
242;15.10.20;PXM SAN SEBASTIÁN DE LOS REYES - PLAZA DEL PROGRESO, 2;28701;SAN SEBASTIÁN DE LOS REYES;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’050’083.24 €;932’089.24 €
348;17.08.21;PXMA MARTINEZ MALDONADO, 68;29010;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’047’467.21 €;360’686.05 €
82;23.03.17;PXM CALLE HUMILLADERO, 25;28005;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL8;1’043’832.84 €;984’049.15 €
258;19.01.18;PXNA ESTELLA - Pº DE LA INMACULADA, 64;31200;ESTELLA;NAVARRA;COMUNIDAD FORAL DE NAVARRA;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’041’642.86 €;808’954.29 €
200;12.12.19;PXM CARRANZA 3;28004;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL5;1’036’457.74 €;1’044’642.69 €
335;10.05.19;PXS CASTRO URDIALES 5-LA RONDA;39700;CASTRO URDIALES;CANTABRIA;CANTABRIA;XPLUS;URB.RESIDENCIAL;NACIONAL5;1’034’519.66 €;980’434.22 €
306;29.05.15;PXP AGUILAR DE CAMPOO - AVDA. DEL GENERALÍSIMO, 25;34800;AGUILAR DE CAMPOO;PALENCIA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL4;1’034’248.40 €;921’279.23 €
164;27.08.21;PXM DOCTOR ESQUERDO, 93;28007;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL6;1’034’125.04 €;283’819.09 €
309;26.11.14;PXM CALLE ERCILLA, 21;28005;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;1’031’832.13 €;1’004’170.29 €
230;25.05.17;PXM GENERAL PERON2;28020;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL5;1’031’130.79 €;1’028’908.49 €
290;21.05.21;PXM POZUELO - ANTONIO DÍAZ 6;28224;POZUELO DE ALARCÓN;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’030’611.41 €;590’436.94 €
163;04.01.13;PXMU PINARES, 4;30001;MURCIA;MURCIA;REGIÓN DE MURCIA;AGRESIVA;URB.COMERCIAL;NACIONAL6;1’027’750.57 €;989’852.18 €
115;21.12.18;PXM CUESTA DE SAN VICENTE, 24;28008;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL6;1’022’509.09 €;1’110’174.68 €
195;23.11.18;PXMA FERNANDO CAMINO;29016;MÁLAGA;MÁLAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’021’980.46 €;926’731.38 €
343;16.05.18;PXNA CALLE TUDELA2, 13;31003;PAMPLONA;NAVARRA;COMUNIDAD FORAL DE NAVARRA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’021’767.89 €;902’307.22 €
151;15.12.17;PXB SITGES VILANOVA, 27;8870;SITGES;BARCELONA;CATALUÑA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’021’405.13 €;997’575.09 €
539;10.10.17;PXLE VILLAF DEL BIERZO 2;24500;VILLAFRANCA DEL BIERZO;LEÓN;CASTILLA Y LEÓN;PLUS;RURAL;NACIONAL3;1’018’447.80 €;832’621.41 €
392;23.08.17;PXM ALGETE  CALLE PALOMARES;28110;ALGETE;MADRID;COMUNIDAD DE MADRID;AGRESIVA;URB.RESIDENCIAL;NACIONAL4;1’013’848.59 €;909’765.08 €
144;25.11.14;PXBI ESTACIÓN RENFE ABANDO INDALECIO PRIETO;48008;BILBAO;VIZCAYA;PAÍS VASCO;XPLUS;CONVENIENCIA;NACIONAL7;1’011’643.43 €;824’016.60 €
99;26.01.18;PXM ALAMEDA2;28014;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL7;1’007’604.56 €;811’389.09 €
177;28.02.18;PXO ARZOBISPO GUISASOLA, 42;33009;OVIEDO;ASTURIAS;PRINCIPADO DE ASTURIAS;PLUS;URB.RESIDENCIAL;NACIONAL6;1’005’945.08 €;918’255.23 €
207;22.10.21;PXCO RODRIGUEZ MARÍN 2, 13;6100;CÓRDOBA;CÓRDOBA;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’000’039.32 €;204’562.42 €
177;04.05.19;PXSE PUENTE Y PELLÓN2;41004;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL7;994’573.29 €;707’909.79 €
170;07.06.19;PXSA AVDA. ALFONSO VI, 9;37005;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;989’487.00 €;880’261.01 €
120;25.10.19;PXNA ESTAFETA II, 1;31001;PAMPLONA;NAVARRA;COMUNIDAD FORAL DE NAVARRA;PLUS;URB.COMERCIAL;NACIONAL7;987’561.71 €;876’607.99 €
269;05.05.21;PXM ANDRES MELLADO, 61;28015;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL6;986’028.64 €;650’315.88 €
151;28.09.18;PXSS ALZUKAITZ2;20304;IRÚN;GUIPÚZCOA;PAÍS VASCO;PLUS;URB.RESIDENCIAL;NACIONAL6;985’076.37 €;905’287.16 €
511;08.06.21;PXCA URB. EL ALMENDRAL;11407;JEREZ DE LA FRONTERA;CÁDIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;983’919.71 €;483’908.92 €
151;22.01.21;PXH ROQUE BARCIA, 7;21003;HUELVA;HUELVA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;983’033.00 €;732’011.64 €
722;19.08.21;PXCA ALGECIRAS - JOSE CARLOS DE LUNA;11202;ALGECIRAS;CADIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;979’372.80 €;331’918.28 €
154;18.12.20;PXVA TIRSO DE MOLINA;47010;VALLADOLID;VALLADOLID;CASTILLA Y LEÓN;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;977’764.61 €;799’746.87 €
223;27.05.21;PXLE ANCHAIII, 7;24003;LEÓN;LEÓN;CASTILLA Y LEÓN;PLUS;CONVENIENCIA;NACIONAL6;967’574.35 €;482’135.73 €
325;25.05.21;PXM TORRELODONES - JESUSA LARA, 18;28250;TORRELODONES;MADRID;COMUNIDAD DE MADRID;ESTANDAR;RURAL;NACIONAL4;966’804.46 €;549’108.95 €
286;13.08.19;PXMA BENALMADENA - EROS;29631;BENALMADENA;MÁLAGA;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL5;962’784.37 €;840’918.25 €
221;26.04.12;PXLO LARDERO;26140;LARDERO;LA RIOJA;LA RIOJA;PLUS;URB.RESIDENCIAL;NACIONAL5;961’409.16 €;1’010’629.48 €
157;21.10.16;PXBI HERMANOS MARISTAS-ZALLA;48860;ZALLA;VIZCAYA;PAÍS VASCO;PLUS;URB.RESIDENCIAL;NACIONAL5;951’264.01 €;849’241.49 €
186;16.07.21;PXM MARQUES DE VIANA, 79;28039;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;947’681.75 €;343’462.20 €
342;07.09.21;PXSE AV FELIPE II, 12-14;41013;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;946’411.59 €;338’923.28 €
211;12.04.19;PXM PANAMÁ5 10;28036;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;945’166.89 €;1’144’547.89 €
315;08.03.16;PXGU CALLE FERIAL II;19002;GUADALAJARA;GUADALAJARA;CASTILLA LA MANCHA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;944’263.33 €;933’044.32 €
244;14.04.16;PXM CAVANILLES, 27;28007;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;938’873.73 €;856’886.55 €
185;19.01.18;PXVA PASEO HOSPITAL MILITAR, 36;47006;VALLADOLID;VALLADOLID;CASTILLA Y LEÓN;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;934’381.93 €;836’496.61 €
118;28.10.16;PXNA ITURRAMA,43;31007;PAMPLONA;NAVARRA;COMUNIDAD FORAL DE NAVARRA;PLUS;URB.RESIDENCIAL;NACIONAL7;934’109.42 €;887’977.56 €
120;14.06.19;PXM CALLE IMPERIAL2;28012;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL7;933’414.48 €;752’471.64 €
210;13.12.19;PXM CALLE ESCALONA;28024;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;932’109.70 €;926’973.71 €
172;20.08.21;PXBI BARAKALDO - LIBERTAD, 60;48901;BARAKALDO;BILBAO;PAÍS VASCO;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;929’288.78 €;266’143.14 €
144;13.12.19;PXS CALLE UNIVERSIDAD II, 2;39005;SANTANDER;CANTABRIA;CANTABRIA;PLUS;URB.RESIDENCIAL;NACIONAL7;926’324.61 €;751’721.75 €
187;31.05.19;PXM CALLE PADRE CLARET, 11;28002;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL6;924’705.73 €;826’313.22 €
208;27.06.19;PXZ SANTA LUCÍA - CASPE;50700;CASPE;ZARAGOZA;ARAGÓN;AGRESIVA;URB.RESIDENCIAL;NACIONAL5;920’036.56 €;826’642.97 €
153;26.10.16;PXV CALLE QUART, 68;46008;VALENCIA;VALENCIA;COMUNIDAD VALENCIANA;PLUS;URB.RESIDENCIAL;NACIONAL6;919’572.08 €;802’389.75 €
220;29.06.17;PXCO DR MANUEL RUIZ MAYA;14004;CÓRDOBA;CÓRDOBA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;916’636.36 €;766’375.28 €
149;10.10.18;PXGR CAMINO BAJO DE HUETOR;18008;GRANADA;GRANADA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;916’592.07 €;863’978.77 €
174;22.02.19;PXL CRONISTA MUNTANER;25001;LLEIDA;LLEIDA;CATALUÑA;AGRESIVA;URB.RESIDENCIAL;NACIONAL6;910’623.18 €;823’792.98 €
362;16.11.18;PXM MAGALLANES2, 15;28015;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;909’966.01 €;1’007’944.52 €
234;09.09.21;PXMU CARTAGENA JUAN FERNANDEZ;30201;CARTAGENA;MURCIA;REGIÓN DE MURCIA;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;908’681.77 €;252’370.59 €
396;13.07.18;PXZA PUEBLA DE SANABRIA;49300;PUEBLA DE SANABRIA;ZAMORA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL4;906’996.92 €;802’773.78 €
160;31.05.18;PXSE CALATRAVA, 16;41002;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL6;904’446.02 €;765’980.42 €
420;26.11.10;PXM VILLANUEVA DEL PARDILLO;28229;VILLANUEVA DEL PARDILLO;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;901’071.54 €;849’272.73 €
128;27.03.15;PXBI BAKIO - CALLE ANBIETAKO GOIENKALE, 2;48130;BAKIO;VIZCAYA;PAÍS VASCO;XPLUS;URB.RESIDENCIAL;NACIONAL7;901’043.47 €;849’130.39 €
218;13.10.17;PXSE CRUZ DEL CAMPO;41005;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;900’845.75 €;813’638.71 €
221;19.10.17;PXTE AVDA. SAGUNTO 2;44002;TERUEL;TERUEL;ARAGÓN;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;897’537.18 €;761’932.54 €
264;22.06.16;PXBI LEIOA - AVDA. IPARRAGUIRRE;48940;LEIOA;VIZCAYA;PAÍS VASCO;PLUS;URB.RESIDENCIAL;NACIONAL5;897’331.62 €;829’830.70 €
302;14.11.14;PXLO CALLE GENERAL VARA DE REY, 31;26002;LOGROÑO;LOGROÑO;LA RIOJA;PLUS;URB.COMERCIAL;NACIONAL4;893’211.99 €;792’771.62 €
226;02.06.17;PXLE REPUBLICA ARGENTINA2, 26;24004;LEÓN;LEÓN;CASTILLA Y LEÓN;PLUS;URB.RESIDENCIAL;NACIONAL5;891’337.26 €;748’707.63 €
341;20.03.15;PXBA OLIVENZA - CALLE LOPE DE VEGA, 3;6100;OLIVENZA;BADAJOZ;EXTREMADURA;PLUS;RURAL;NACIONAL4;891’217.20 €;961’331.14 €
177;19.12.19;PXSA CARMELITAS;37002;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;PLUS;URB.RESIDENCIAL;NACIONAL5;889’089.06 €;752’691.29 €
161;21.12.18;PXMA RONDA;29400;RONDA;MÁLAGA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL6;888’781.08 €;669’795.19 €
278;26.05.17;PXBA PZA CONDE DE LA TORRE DEL FRESNO;6008;BADAJOZ;BADAJOZ;EXTREMADURA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;888’762.17 €;816’699.46 €
204;11.06.21;PXM ALCOBENDAS MARQUES DE LA VALDAVIA, 33;28100;ALCOBENDAS;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;887’737.32 €;363’003.28 €
261;20.01.21;PXM LEGANES - CALLE DEL CARMEN2, 10;28917;LEGANÉS;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;887’512.41 €;755’555.28 €
124;28.06.19;PXV CULTURA,1;46002;VALENCIA;VALENCIA;COMUNIDAD VALENCIANA;PLUS;URB.COMERCIAL;NACIONAL7;884’754.98 €;677’459.95 €
192;21.05.21;PXO CALLE AGUADO, 29;33202;GIJÓN ;ASTURIAS;PRINCIPADO DE ASTURIAS;PLUS;URB.RESIDENCIAL;NACIONAL6;884’155.51 €;413’157.79 €
601;25.05.18;PXPM ARAGÓN 5;7005;MALLORCA;PALMA DE MALLORCA;ISLAS BALEARES;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;879’733.87 €;901’774.57 €
131;19.06.20;PXCA SAN RAFAEL, 14;11100;SAN FERNANDO;CÁDIZ;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL7;878’452.32 €;666’115.92 €
371;05.02.21;PXZA TABARA - PUEBLICA,3;49140;TABARA;ZAMORA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL4;876’336.23 €;747’796.32 €
53;10.03.17;PXM PLAZA DEL ÁNGEL, 11;28012;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.RESIDENCIAL;NACIONAL7;869’336.51 €;689’553.51 €
237;14.12.18;PXSA PLAZA GABRIEL Y GALÁN2  6;37005;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;PLUS;URB.RESIDENCIAL;NACIONAL5;865’502.01 €;850’790.36 €
244;26.09.12;PXM AGASTIA 48;28027;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;862’163.30 €;856’388.41 €
102;05.05.17;PXBI CATALUÑA2, 1;48015;BILBAO;VIZCAYA;PAÍS VASCO;PLUS;URB.RESIDENCIAL;NACIONAL7;861’468.67 €;818’703.68 €
277;22.04.21;PXCO EL CARPIO;14620;EL CARPIO;CÓRDOBA;ANDALUCÍA;ESTANDAR;RURAL;NACIONAL6;859’426.88 €;516’378.13 €
